UNIX time,lat,lon
1485984300,45.48594,9.16838
1485984360,45.47707,9.17644
1485984360,45.46883,9.17032
1485984360,45.48939,9.16939
1485984420,45.46795,9.18722
1485984420,45.47883,9.22101
1485984420,45.45703,9.2216
1485984420,45.43419,9.20028
1485984420,45.45157,9.1801
1485984420,45.48056,9.21031
1485984420,45.44946,9.19578
1485984420,45.48267,9.16896
1485984480,45.48086,9.17664
1485984480,45.45715,9.15207
1485984480,45.4659,9.15974
1485984480,45.47187,9.2301
1485984480,45.49303,9.16417
1485984540,45.48094,9.16047
1485984540,45.47664,9.16182
1485984540,45.44265,9.19366
1485984540,45.45752,9.14777
1485984540,45.45899,9.15651
1485984600,45.44079,9.17862
1485984600,45.46748,9.16735
1485984600,45.48722,9.22996
1485984600,45.5006,9.16382
1485984600,45.4503,9.20277
1485984600,45.48873,9.2221
1485984600,45.41705,9.26431
1485984660,45.4535,9.16811
1485984660,45.48457,9.16301
1485984660,45.50028,9.19739
1485984720,45.48113,9.18196
1485984720,45.47773,9.14835
1485984780,45.46351,9.1838
1485984780,45.45157,9.1801
1485984780,45.46863,9.18346
1485984780,45.47543,9.15796
1485984780,45.47648,9.14847
1485984780,45.50615,9.23082
1485984780,45.48523,9.17108
1485984780,45.44543,9.17787
1485984840,45.46795,9.18722
1485984840,45.44988,9.17286
1485984840,45.45405,9.19173
1485984840,45.45006,9.21619
1485984840,45.44896,9.20634
1485984840,45.48802,9.15504
1485984840,45.49763,9.22365
1485984840,45.44383,9.19861
1485984900,45.49689,9.14713
1485984960,45.46006,9.18887
1485984960,45.52343,9.21321
1485984960,45.46284,9.23013
1485984960,45.48846,9.1687
1485984960,45.45378,9.20784
1485984960,45.48501,9.19624
1485984960,45.48482,9.19647
1485984960,45.48499,9.19617
1485985020,45.48335,9.22087
1485985020,45.46018,9.18105
1485985020,45.44625,9.19697
1485985020,45.45608,9.20468
1485985020,45.48276,9.14723
1485985020,45.46416,9.22399
1485985020,45.47353,9.22986
1485985020,45.44777,9.21559
1485985020,45.49555,9.19658
1485985140,45.45645,9.16574
1485985140,45.44743,9.17859
1485985200,45.4919,9.18693
1485985200,45.46947,9.16961
1485985200,45.48508,9.15521
1485985200,45.44234,9.14561
1485985200,45.48478,9.1963
1485985200,45.45992,9.14826
1485985200,45.43623,9.17946
1485985200,45.47014,9.22903
1485985200,45.45092,9.15898
1485985200,45.49216,9.16808
1485985260,45.473,9.20818
1485985260,45.44917,9.17974
1485985260,45.45433,9.21259
1485985320,45.46816,9.14804
1485985320,45.44944,9.19434
1485985320,45.4582,9.17698
1485985320,45.45228,9.20575
1485985320,45.49577,9.16847
1485985320,45.46888,9.12371
1485985380,45.4844,9.20466
1485985380,45.44489,9.1674
1485985380,45.46296,9.22104
1485985380,45.46604,9.15474
1485985380,45.45108,9.16003
1485985380,45.45099,9.15965
1485985440,45.44931,9.20511
1485985500,45.45591,9.16944
1485985500,45.47507,9.21479
1485985500,45.45251,9.18492
1485985500,45.45152,9.16932
1485985500,45.43923,9.17515
1485985500,45.44343,9.17809
1485985500,45.43947,9.2286
1485985500,45.45636,9.20899
1485985500,45.47088,9.21803
1485985500,45.45097,9.15939
1485985500,45.45096,9.12606
1485985500,45.47008,9.22597
1485985560,45.45355,9.15917
1485985560,45.46221,9.15975
1485985560,45.44648,9.20058
1485985620,45.45321,9.20925
1485985620,45.50174,9.13665
1485985620,45.43799,9.16047
1485985620,45.4739,9.21279
1485985620,45.46989,9.21122
1485985620,45.49012,9.20522
1485985620,45.46725,9.23466
1485985680,45.47967,9.17006
1485985680,45.45856,9.20686
1485985680,45.45097,9.1906
1485985680,45.46743,9.21031
1485985680,45.46338,9.22158
1485985680,45.46859,9.1333
1485985680,45.4561,9.15459
1485985680,45.48052,9.1633
1485985740,45.47142,9.21333
1485985740,45.46058,9.15296
1485985800,45.47216,9.15335
1485985800,45.50222,9.17301
1485985800,45.43894,9.18195
1485985860,45.48629,9.16816
1485985860,45.46138,9.2303
1485985860,45.49261,9.14825
1485985860,45.45657,9.21202
1485985860,45.46072,9.13713
1485985860,45.46953,9.17572
1485985860,45.48253,9.17268
1485985860,45.49365,9.22675
1485985920,45.4714,9.19264
1485985920,45.46074,9.22588
1485985980,45.45619,9.21178
1485985980,45.47883,9.22101
1485986040,45.47824,9.18822
1485986040,45.44889,9.17793
1485986040,45.45543,9.20263
1485986040,45.48267,9.16896
1485986040,45.44028,9.18179
1485986040,45.49017,9.15989
1485986040,45.42837,9.17351
1485986040,45.44114,9.22915
1485986040,45.43968,9.14531
1485986040,45.47035,9.2112
1485986040,45.4372,9.20214
1485986040,45.49228,9.18826
1485986040,45.45346,9.20662
1485986040,45.44042,9.17271
1485986040,45.50201,9.21941
1485986100,45.50195,9.19876
1485986100,45.45017,9.19043
1485986100,45.46107,9.17564
1485986100,45.44836,9.14586
1485986100,45.4814,9.16413
1485986100,45.48105,9.16482
1485986160,45.49299,9.22136
1485986160,45.4775,9.18868
1485986160,45.44574,9.18231
1485986160,45.48369,9.21423
1485986160,45.45278,9.16448
1485986160,45.46519,9.16227
1485986160,45.466,9.22734
1485986160,45.41664,9.17
1485986220,45.45604,9.20478
1485986220,45.48489,9.19627
1485986220,45.45398,9.21048
1485986220,45.43623,9.20158
1485986220,45.47044,9.15907
1485986220,45.45926,9.1601
1485986220,45.45055,9.21963
1485986220,45.47118,9.16029
1485986220,45.48005,9.18214
1485986220,45.4565,9.19527
1485986220,45.48722,9.16842
1485986220,45.42699,9.17656
1485986220,45.44172,9.23038
1485986280,45.45224,9.18271
1485986280,45.44953,9.20177
1485986280,45.4848,9.21548
1485986280,45.49368,9.1878
1485986280,45.46493,9.15872
1485986340,45.43399,9.17752
1485986340,45.47569,9.21531
1485986400,45.45321,9.17167
1485986400,45.49008,9.21803
1485986400,45.47841,9.16025
1485986400,45.48478,9.1963
1485986400,45.49232,9.21239
1485986400,45.47094,9.22927
1485986460,45.48344,9.20624
1485986460,45.45796,9.21042
1485986460,45.48393,9.1756
1485986460,45.47176,9.15226
1485986460,45.44892,9.20263
1485986460,45.44034,9.2251
1485986460,45.45179,9.20732
1485986460,45.48478,9.19645
1485986460,45.48501,9.19621
1485986460,45.48494,9.19629
1485986460,45.48341,9.21408
1485986460,45.45558,9.22362
1485986460,45.47057,9.22824
1485986520,45.4659,9.15974
1485986520,45.44988,9.17286
1485986520,45.44578,9.16565
1485986520,45.48907,9.23713
1485986520,45.49786,9.14353
1485986520,45.52965,9.23138
1485986580,45.45333,9.17845
1485986580,45.47249,9.15032
1485986580,45.4474,9.17394
1485986580,45.4417,9.17926
1485986580,45.49015,9.22274
1485986580,45.48109,9.16472
1485986580,45.47233,9.235
1485986640,45.49309,9.18203
1485986640,45.478,9.18341
1485986640,45.44253,9.13402
1485986640,45.46143,9.21337
1485986640,45.44379,9.21853
1485986640,45.47704,9.19196
1485986640,45.48598,9.16155
1485986640,45.44944,9.19434
1485986640,45.48477,9.19629
1485986640,45.48908,9.18961
1485986640,45.50627,9.19771
1485986640,45.49923,9.17854
1485986700,45.48369,9.21423
1485986700,45.46513,9.21483
1485986700,45.50097,9.22443
1485986760,45.49382,9.21693
1485986760,45.43715,9.19439
1485986820,45.45674,9.17465
1485986820,45.45524,9.16662
1485986820,45.47569,9.21531
1485986820,45.46771,9.16247
1485986820,45.46383,9.16419
1485986820,45.48501,9.19621
1485986820,45.4431,9.17894
1485986820,45.4519,9.19614
1485986820,45.48229,9.2343
1485986820,45.45767,9.22283
1485986820,45.43984,9.14622
1485986820,45.45596,9.21053
1485986820,45.46028,9.17484
1485986820,45.48011,9.16588
1485986820,45.45632,9.17577
1485986820,45.47614,9.14257
1485986820,45.47119,9.23093
1485986880,45.47507,9.21479
1485986880,45.48284,9.17709
1485986880,45.45359,9.19926
1485986940,45.48951,9.21279
1485986940,45.47088,9.21803
1485986940,45.43311,9.18155
1485986940,45.46553,9.22619
1485987000,45.45125,9.1877
1485987000,45.4656,9.23148
1485987000,45.43893,9.13598
1485987000,45.45152,9.16932
1485987000,45.48763,9.1889
1485987000,45.43077,9.20191
1485987060,45.46448,9.13659
1485987060,45.47439,9.23375
1485987060,45.44558,9.16181
1485987060,45.4693,9.14051
1485987060,45.43893,9.19274
1485987120,45.46073,9.18769
1485987120,45.50136,9.20218
1485987120,45.48882,9.22644
1485987120,45.45381,9.22086
1485987180,45.49408,9.15553
1485987180,45.44896,9.2035
1485987180,45.47642,9.14724
1485987180,45.48873,9.2221
1485987180,45.45366,9.17232
1485987180,45.45657,9.21202
1485987180,45.47328,9.18971
1485987180,45.47883,9.22101
1485987180,45.44694,9.18675
1485987180,45.44691,9.18677
1485987240,45.49308,9.18206
1485987240,45.47285,9.21109
1485987240,45.47531,9.18867
1485987240,45.49311,9.22071
1485987240,45.4573,9.15888
1485987240,45.44036,9.15966
1485987240,45.50146,9.14703
1485987300,45.43566,9.14954
1485987300,45.45177,9.17847
1485987300,45.47035,9.2112
1485987300,45.46886,9.17193
1485987300,45.4499,9.17759
1485987300,45.443,9.17588
1485987300,45.49178,9.15375
1485987300,45.49962,9.20556
1485987360,45.44658,9.18729
1485987420,45.45619,9.19925
1485987420,45.48913,9.15408
1485987420,45.485,9.23417
1485987420,45.45151,9.20596
1485987420,45.4706,9.15599
1485987420,45.48745,9.18898
1485987420,45.48891,9.18572
1485987420,45.43052,9.20203
1485987420,45.44707,9.18631
1485987420,45.44695,9.18673
1485987420,45.50539,9.1994
1485987420,45.43715,9.19568
1485987480,45.46801,9.20983
1485987480,45.47077,9.16844
1485987480,45.4503,9.20277
1485987480,45.45031,9.18593
1485987480,45.46947,9.16961
1485987480,45.43875,9.24196
1485987480,45.45211,9.14352
1485987480,45.42513,9.16788
1485987540,45.49008,9.2179
1485987540,45.47538,9.18987
1485987540,45.46782,9.17158
1485987540,45.44964,9.17985
1485987600,45.48479,9.22114
1485987600,45.46522,9.21208
1485987600,45.46707,9.14982
1485987600,45.45423,9.16356
1485987600,45.49442,9.20361
1485987600,45.49311,9.22071
1485987600,45.43872,9.19256
1485987600,45.44743,9.17859
1485987600,45.4794,9.17494
1485987600,45.48206,9.18136
1485987600,45.43045,9.20205
1485987660,45.48501,9.19621
1485987660,45.44863,9.16915
1485987660,45.44078,9.17018
1485987720,45.47704,9.19196
1485987720,45.46669,9.22361
1485987720,45.46308,9.12941
1485987780,45.46371,9.20328
1485987780,45.45756,9.16523
1485987780,45.45343,9.20219
1485987780,45.43851,9.15091
1485987780,45.49364,9.17997
1485987780,45.46945,9.17766
1485987780,45.46245,9.1638
1485987780,45.47569,9.21531
1485987840,45.47773,9.14835
1485987840,45.49206,9.22849
1485987840,45.45984,9.21144
1485987840,45.46268,9.16136
1485987840,45.48626,9.20706
1485987840,45.44898,9.1813
1485987840,45.44343,9.17809
1485987840,45.48619,9.20733
1485987840,45.45225,9.14373
1485987900,45.4862,9.20727
1485987900,45.43881,9.15032
1485987900,45.51598,9.21151
1485987900,45.47373,9.15846
1485987900,45.48785,9.23404
1485987900,45.43328,9.20119
1485987960,45.45179,9.20732
1485987960,45.44224,9.22391
1485987960,45.45104,9.21842
1485987960,45.44542,9.21226
1485987960,45.49312,9.22122
1485988020,45.45093,9.20075
1485988020,45.47176,9.15226
1485988080,45.4357,9.14973
1485988080,45.48175,9.16764
1485988080,45.49618,9.18356
1485988080,45.4546,9.18923
1485988080,45.45398,9.16917
1485988080,45.48782,9.16007
1485988080,45.48407,9.22982
1485988080,45.45197,9.14861
1485988080,45.47614,9.14257
1485988140,45.48346,9.18048
1485988140,45.46189,9.1614
1485988140,45.48276,9.16615
1485988140,45.45447,9.16819
1485988140,45.49563,9.1628
1485988140,45.47937,9.20357
1485988140,45.48429,9.20722
1485988140,45.469,9.16226
1485988140,45.45145,9.18651
1485988140,45.45031,9.18593
1485988140,45.48989,9.22377
1485988140,45.45748,9.13652
1485988140,45.47322,9.15737
1485988140,45.43888,9.19263
1485988140,45.49086,9.15635
1485988200,45.46513,9.21483
1485988200,45.45322,9.17218
1485988200,45.48258,9.20938
1485988200,45.48595,9.22187
1485988200,45.48521,9.15506
1485988200,45.45103,9.19572
1485988200,45.51811,9.17017
1485988200,45.43851,9.15091
1485988260,45.48768,9.21391
1485988260,45.44796,9.20901
1485988260,45.48146,9.20412
1485988260,45.47405,9.15381
1485988260,45.49513,9.20469
1485988260,45.44459,9.22674
1485988260,45.4557,9.16243
1485988260,45.49619,9.1395
1485988320,45.45034,9.22172
1485988320,45.45811,9.17693
